Driver_Track,DriverTrackAvgDelta,DriverTrackStdDelta
GAS_Monza,4.694666666666669,14.150600947538257
GAS_Paul Ricard,6.85476923076923,18.543442786035566
GAS_Portimao,6.581465517241384,9.695928502958484
GAS_Red Bull Ring,3.444235849056606,13.383952171782994
GAS_Shanghai International,-0.9169999999999945,0.5968634684749945
GAS_Silverstone,3.975074074074078,13.304178655092155
GAS_Sochi Autodrom,-12.349166666666674,0.5002828866418138
GAS_Spa-Francorchamps,10.055166666666663,7.880384639128096
GAS_Suzuka,-0.3831666666666725,0.5353605949887122
GAS_Yas Marina,-0.8364090909090914,0.7600333485506345
GAS_Zandvoort,-3.332384615384612,12.544423319669857
GIO_Albert Park,8.003999999999996,11.874562623524284
GIO_Istanbul Park,10.924807692307688,7.059609908777012
GIO_Monaco,8.044125000000001,12.523267991356462
