year,race,driver,real_time_seconds
2025,Italian Grand Prix,BOR,79.323
2025,Italian Grand Prix,COL,79.992
2025,Italian Grand Prix,GAS,80.103
2025,Italian Grand Prix,HAD,79.917
2025,Italian Grand Prix,HAM,79.124
2025,Italian Grand Prix,HUL,79.498
2025,Italian Grand Prix,LAW,80.279
2025,Italian Grand Prix,LEC,79.007
2025,Italian Grand Prix,NOR,78.869
2025,Italian Grand Prix,OCO,79.707
2025,Italian Grand Prix,PIA,78.982
2025,Italian Grand Prix,RUS,79.157
2025,Italian Grand Prix,SAI,79.528
2025,Italian Grand Prix,STR,79.948
2025,Italian Grand Prix,TSU,79.433
2025,Italian Grand Prix,VER,78.792
2025,Azerbaijan Grand Prix,ALB,103.778
2025,Azerbaijan Grand Prix,ALO,101.857
2025,Azerbaijan Grand Prix,ANT,101.464
2025,Azerbaijan Grand Prix,BEA,102.666
2025,Azerbaijan Grand Prix,BOR,102.277
2025,Azerbaijan Grand Prix,COL,102.779
2025,Azerbaijan Grand Prix,GAS,103.139
2025,Azerbaijan Grand Prix,HAD,101.647
2025,Azerbaijan Grand Prix,HAM,101.821
2025,Azerbaijan Grand Prix,HUL,102.916
2025,Azerbaijan Grand Prix,LAW,101.537
2025,Azerbaijan Grand Prix,LEC,101.458
2025,Azerbaijan Grand Prix,NOR,101.322
2025,Azerbaijan Grand Prix,OCO,103.004
2025,Azerbaijan Grand Prix,PIA,101.414
2025,Azerbaijan Grand Prix,RUS,101.455
2025,Azerbaijan Grand Prix,SAI,101.595
2025,Azerbaijan Grand Prix,STR,102.101
2025,Azerbaijan Grand Prix,TSU,101.788
2025,Azerbaijan Grand Prix,VER,101.117
2025,Singapore Grand Prix,ALB,90.202
2025,Singapore Grand Prix,ALO,89.955
2025,Singapore Grand Prix,ANT,89.537
2025,Singapore Grand Prix,BEA,89.868
2025,Singapore Grand Prix,BOR,90.82
2025,Singapore Grand Prix,COL,90.982
2025,Singapore Grand Prix,GAS,91.261
2025,Singapore Grand Prix,HAD,89.846
2025,Singapore Grand Prix,HAM,89.688
2025,Singapore Grand Prix,HUL,90.141
2025,Singapore Grand Prix,LAW,90.32
2025,Singapore Grand Prix,LEC,89.784
2025,Singapore Grand Prix,NOR,89.586
2025,Singapore Grand Prix,OCO,90.989
2025,Singapore Grand Prix,PIA,89.524
2025,Singapore Grand Prix,RUS,89.158
2025,Singapore Grand Prix,SAI,90.235
2025,Singapore Grand Prix,STR,90.949
2025,Singapore Grand Prix,TSU,90.353
2025,Singapore Grand Prix,VER,89.34
2025,United States Grand Prix,ALB,93.67
2025,United States Grand Prix,ALO,93.16
2025,United States Grand Prix,ANT,93.044
2025,United States Grand Prix,BEA,93.139
2025,United States Grand Prix,BOR,94.125
2025,United States Grand Prix,COL,94.039
2025,United States Grand Prix,GAS,93.599
2025,United States Grand Prix,HAM,92.912
2025,United States Grand Prix,HUL,93.334
2025,United States Grand Prix,LAW,93.36
2025,United States Grand Prix,LEC,92.807
2025,United States Grand Prix,NOR,92.801
2025,United States Grand Prix,OCO,94.136
