meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1255,9994,16,2,2025-03-22T07:03:56.109000+00:00,24.389,27.598,40.853,285.0,276.0,False,92.84,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2051, 2049, 2049, 2049]",335.0
1255,9994,55,3,2025-03-22T07:04:01.397000+00:00,28.48,31.873,49.259,254.0,120.0,False,109.612,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",313.0
1255,9994,44,2,2025-03-22T07:04:02.475000+00:00,24.186,27.43,40.074,285.0,278.0,False,91.69,"[2051, 2051, 2049, 2049, 2049, 2049, 2051]","[2049, 2049, 2051, 2049, 2049, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049]",332.0
1255,9994,87,3,2025-03-22T07:04:08.866000+00:00,32.616,33.02,54.746,222.0,248.0,False,120.382,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",302.0
1255,9994,81,2,2025-03-22T07:04:10.631000+00:00,24.176,27.442,39.973,282.0,276.0,False,91.591,"[2049, 2049, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2051, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]",330.0
1255,9994,23,2,2025-03-22T07:04:15.350000+00:00,24.702,27.654,54.504,282.0,276.0,False,106.86,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2048, 2064]",298.0
1255,9994,31,3,2025-03-22T07:04:34.397000+00:00,28.381,34.835,54.683,220.0,239.0,False,117.899,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",269.0
1255,9994,10,3,2025-03-22T07:04:41.375000+00:00,27.87,31.895,54.079,253.0,250.0,False,113.844,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",282.0
1255,9994,1,1,2025-03-22T07:04:42.531000+00:00,,38.143,51.111,226.0,157.0,True,,"[2064, 2064, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",177.0
1255,9994,12,2,2025-03-22T07:05:00.456000+00:00,24.419,27.715,40.116,283.0,277.0,False,92.25,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",332.0
1255,9994,4,3,2025-03-22T07:05:12.860000+00:00,29.745,29.755,54.115,250.0,246.0,False,113.615,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2064]",200.0
1255,9994,63,2,2025-03-22T07:05:14.329000+00:00,24.429,27.411,40.242,283.0,277.0,False,92.082,"[2049, 2049, 2049, 2049, 2051, 2049, 2049]","[2051, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]",332.0
1255,9994,16,3,2025-03-22T07:05:29.079000+00:00,26.284,30.356,48.965,259.0,255.0,False,105.605,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2051, 2064]",306.0
1255,9994,44,3,2025-03-22T07:05:34.110000+00:00,27.691,30.784,48.991,250.0,252.0,False,107.466,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",297.0
1255,9994,81,3,2025-03-22T07:05:42.155000+00:00,29.205,31.339,50.933,235.0,246.0,False,111.477,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",286.0
1255,9994,18,4,2025-03-22T07:05:45.968000+00:00,49.264,34.506,45.427,257.0,254.0,True,129.197,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",309.0
1255,9994,6,3,2025-03-22T07:05:56.687000+00:00,,34.671,48.569,227.0,216.0,True,204.666,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",267.0
1255,9994,14,4,2025-03-22T07:06:00.812000+00:00,60.598,35.553,53.537,262.0,253.0,True,149.688,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",254.0
1255,9994,22,3,2025-03-22T07:06:10.906000+00:00,,37.217,57.447,214.0,222.0,True,251.759,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",289.0
1255,9994,5,4,2025-03-22T07:06:10.952000+00:00,71.645,32.008,48.94,255.0,252.0,True,152.593,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",256.0
1255,9994,7,3,2025-03-22T07:06:13.171000+00:00,,33.624,51.688,252.0,251.0,True,190.765,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2049, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",138.0
1255,9994,55,4,2025-03-22T07:06:15.906000+00:00,77.083,32.201,48.582,271.0,269.0,True,157.866,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",299.0
1255,9994,12,3,2025-03-22T07:06:32.781000+00:00,29.457,37.158,53.303,220.0,250.0,False,119.918,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",304.0
1255,9994,23,3,2025-03-22T07:06:36.296000+00:00,78.557,32.935,44.831,265.0,269.0,True,156.323,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2048, 2049]",311.0
1255,9994,1,2,2025-03-22T07:06:42.806000+00:00,24.256,27.505,39.663,284.0,277.0,False,91.424,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2051, 2051, 2049, 2049, 2049]",335.0
1255,9994,63,3,2025-03-22T07:06:46.457000+00:00,28.44,31.59,50.046,254.0,250.0,False,110.076,"[2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049, 2064]",307.0
1255,9994,30,3,2025-03-22T07:07:02.098000+00:00,,33.837,45.763,223.0,238.0,True,219.794,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2049]",269.0
1255,9994,10,4,2025-03-22T07:07:07.851000+00:00,68.281,35.805,48.875,259.0,249.0,True,152.961,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",230.0
1255,9994,27,4,2025-03-22T07:07:13.992000+00:00,,37.432,46.784,220.0,228.0,True,220.381,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",303.0
1255,9994,18,5,2025-03-22T07:07:33.476000+00:00,24.414,27.592,40.159,283.0,275.0,False,92.165,"[2049, 2049, 2051, 2048, 2049, 2048, 2049]","[2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049, 2049, 2048, 2048]",333.0
1255,9994,6,4,2025-03-22T07:07:49.382000+00:00,24.497,27.383,39.944,284.0,277.0,False,91.824,"[2049, 2049, 2049, 2048, 2049, 2049, 2049]","[2049, 2048, 2049, 2049, 2049, 2049]","[2049, 2051, 2049, 2049, 2048, 2049, 2049, 2048, 2048]",330.0
1255,9994,31,4,2025-03-22T07:07:53.132000+00:00,,39.164,51.197,214.0,231.0,True,201.154,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",218.0
1255,9994,14,5,2025-03-22T07:08:01.584000+00:00,24.225,27.617,40.216,282.0,276.0,False,92.058,"[2049, 2048, 2049, 2051, 2049, 2048, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2048, 2048, 2048, 2049, 2048]",325.0
1255,9994,87,4,2025-03-22T07:08:03.272000+00:00,,37.795,54.99,241.0,239.0,True,237.238,"[2064, 2064, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]",217.0
