meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,sector_sum,avg_speed_est
1256,10002,1,17,2025-04-05T07:08:32.606000+00:00,43.368,48.343,30.761,171.0,223.0,0,122.472,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2064, 2064, 2064]",224.0,122.47200000000001,206.0
1256,10002,81,18,2025-04-05T07:08:45.341000+00:00,44.536,49.191,28.825,202.0,233.0,0,122.552,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2064, 2064, 2064]",184.0,122.552,206.33333333333334
1257,10010,18,2,2025-04-12T16:02:01.770000+00:00,29.693,40.308,23.574,240.0,269.0,0,93.575,"[2049, 2049, 2049, 2051, 2049, 2051, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049]",314.0,93.575,274.3333333333333
1257,10010,27,2,2025-04-12T16:02:12.196000+00:00,29.636,39.879,23.295,243.0,274.0,0,92.81,"[2051, 2051, 2051, 2049, 2049, 2049, 2051, 2051, 2049, 2049]","[2051, 2051, 2049, 2051, 2049, 2049, 2051, 2051, 2049, 2049, 2051]","[2049, 2051, 2051, 2051, 2051, 2048, 2051]",317.0,92.81,278.0
1257,10010,14,2,2025-04-12T16:02:28.159000+00:00,29.349,39.741,23.272,242.0,269.0,0,92.362,"[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051, 2051]","[2049, 2049, 2051, 2049, 2051, 2051, 2049, 2049, 2051, 2051, 2049]","[2051, 2051, 2049, 2049, 2051, 2048, 2048]",315.0,92.362,275.3333333333333
1257,10010,18,3,2025-04-12T16:03:35.475000+00:00,41.7,48.97,30.801,149.0,168.0,0,121.471,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",178.0,121.471,165.0
1257,10010,27,3,2025-04-12T16:03:44.873000+00:00,34.67,48.397,32.724,195.0,185.0,0,115.791,"[None, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",243.0,115.791,207.66666666666666
1257,10010,14,3,2025-04-12T16:04:00.603000+00:00,38.883,47.334,29.238,197.0,178.0,0,115.455,"[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",128.0,115.45500000000001,167.66666666666666
1257,10010,1,2,2025-04-12T16:05:06.601000+00:00,29.277,39.756,29.134,241.0,273.0,0,98.167,"[2049, 2049, 2049, 2049, 2049, 2049, 2051, 2051, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049]","[2051, 2051, 2051, 2049, 2048, 2048, 2064]",316.0,98.167,276.6666666666667
1257,10010,22,2,2025-04-12T16:05:17.557000+00:00,29.371,39.551,23.174,240.0,272.0,0,92.096,"[2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049, 2051, 2049]","[2049, 2049, 2051, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2051, 2048]",312.0,92.096,274.6666666666667
